Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,TATACONSUM,35912,OPTSTK,CE,1300,TATA CONSUMER PRODUCT LTD,TATACONSUM JUN 1300 CE,TATACONSUM26JUN25C1300,2025-06-26,456,0.05
NFO,nse_fo,TATACONSUM,35913,OPTSTK,PE,1300,TATA CONSUMER PRODUCT LTD,TATACONSUM JUN 1300 PE,TATACONSUM26JUN25P1300,2025-06-26,456,0.05
NFO,nse_fo,BEL,35931,OPTSTK,CE,350,BHARAT ELECTRONICS LTD,BEL MAY 350 CE,BEL29MAY25C350,2025-05-29,2850,0.05
NFO,nse_fo,BEL,35932,OPTSTK,PE,350,BHARAT ELECTRONICS LTD,BEL MAY 350 PE,BEL29MAY25P350,2025-05-29,2850,0.05
NFO,nse_fo,CDSL,36295,OPTSTK,PE,900,CENTRAL DEPO SER (I) LTD,CDSL MAY 900 PE,CDSL29MAY25P900,2025-05-29,350,0.05
NFO,nse_fo,CGPOWER,36312,OPTSTK,PE,450,CG POWER AND IND SOL LTD,CGPOWER MAY 450 PE,CGPOWER29MAY25P450,2025-05-29,725,0.05
NFO,nse_fo,COFORGE,36346,OPTSTK,PE,5000,COFORGE LIMITED,COFORGE MAY 5000 PE,COFORGE29MAY25P5000,2025-05-29,75,0.05
NFO,nse_fo,COFORGE,36348,OPTSTK,PE,5700,COFORGE LIMITED,COFORGE MAY 5700 PE,COFORGE29MAY25P5700,2025-05-29,75,0.05
NFO,nse_fo,DMART,36391,OPTSTK,CE,4700,AVENUE SUPERMARTS LIMITED,DMART MAY 4700 CE,DMART29MAY25C4700,2025-05-29,150,0.05
NFO,nse_fo,DMART,36392,OPTSTK,PE,4700,AVENUE SUPERMARTS LIMITED,DMART MAY 4700 PE,DMART29MAY25P4700,2025-05-29,150,0.05
NFO,nse_fo,DELHIVERY,36435,OPTSTK,CE,335,DELHIVERY LIMITED,DELHIVERY MAY 335 CE,DELHIVERY29MAY25C335,2025-05-29,1525,0.05
NFO,nse_fo,DELHIVERY,36436,OPTSTK,PE,335,DELHIVERY LIMITED,DELHIVERY MAY 335 PE,DELHIVERY29MAY25P335,2025-05-29,1525,0.05
NFO,nse_fo,GMRAIRPORT,36539,OPTSTK,CE,102,GMR AIRPORTS LIMITED,GMRAIRPORT JUN 102 CE,GMRAIRPORT26JUN25C102,2025-06-26,5625,0.05
NFO,nse_fo,GMRAIRPORT,36540,OPTSTK,PE,102,GMR AIRPORTS LIMITED,GMRAIRPORT JUN 102 PE,GMRAIRPORT26JUN25P102,2025-06-26,5625,0.05
NFO,nse_fo,GRASIM,36558,OPTSTK,CE,3080,GRASIM INDUSTRIES LTD,GRASIM MAY 3080 CE,GRASIM29MAY25C3080,2025-05-29,250,0.05
NFO,nse_fo,GRASIM,36560,OPTSTK,PE,3080,GRASIM INDUSTRIES LTD,GRASIM MAY 3080 PE,GRASIM29MAY25P3080,2025-05-29,250,0.05
NFO,nse_fo,HAL,36591,OPTSTK,CE,4700,HINDUSTAN AERONAUTICS LTD,HAL MAY 4700 CE,HAL29MAY25C4700,2025-05-29,150,0.05
NFO,nse_fo,HAL,36592,OPTSTK,PE,4700,HINDUSTAN AERONAUTICS LTD,HAL MAY 4700 PE,HAL29MAY25P4700,2025-05-29,150,0.05
NFO,nse_fo,HAL,36593,OPTSTK,CE,5000,HINDUSTAN AERONAUTICS LTD,HAL MAY 5000 CE,HAL29MAY25C5000,2025-05-29,150,0.05
NFO,nse_fo,HAL,36594,OPTSTK,PE,5000,HINDUSTAN AERONAUTICS LTD,HAL MAY 5000 PE,HAL29MAY25P5000,2025-05-29,150,0.05
NFO,nse_fo,011NSETEST,36687,FUTSTK,XX,-1,011NSETEST,011NSETEST NOV36 FUT,011NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,NIFTY,36688,OPTIDX,CE,19500,NIFTY,NIFTY 24th DEC 19500 CE,NIFTY24DEC25C19500,2025-12-24,75,0.05
NFO,nse_fo,021NSETEST,36690,FUTSTK,XX,-1,021NSETEST,021NSETEST NOV36 FUT,021NSETEST27NOV36F,2036-11-27,50,0.05
